#
# Output Filename: power_avg.out
# Generation Time: 25-November-2013_15:18:01 (UTC)
# File Contents:   Average Power Values
#
# EPS Version:     v2.5.8
#
# CFG Template:    v3.19
# EDF Template:    v3.12
# ITL Template:    v3.10
# EVF Template:    v3.1
#
# POR Definition:  CRID issue C4
# EVF (ESOC FD):   DDID appendix-H v2.1
#
# Input Timeline:  BC_SO10_FULL_________ITL_GEN_1A.itl
# Input CFG:       eps_mac.cfg
# Input EDF:       bepi.edf
# MDB version:     SISBCETB "ETB (1, 0, 38)"
# Input EVF:       bepi_events_mpo_00012.evf
#

Ref_date: 7-May-2024

Elapsed time        Total         ANTENNA            SSMM            BELA             ISA          MERMAG          MERTIS            MGNS            MORE          PHEBUS          SERENA   SIMBIOSYS_STC  SIMBIOSYS_HRIC  SIMBIOSYS_VIHI       MIXS_SIXS
ddd_hh:mm:ss      (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)         (Watts)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
086_00:00:00      135.970           0.000           0.000          13.470          12.870           5.630           9.000           5.000          37.000           0.000          34.300           0.000           0.000           0.000          18.700
087_00:00:00      164.830           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000          24.000          37.200           0.000           0.000           2.710          18.700
088_00:00:00      191.710           0.000           0.000          22.770          12.870           4.880           9.000           5.000          37.000          24.000          37.200           6.180           0.000          11.210          21.600
089_00:00:00      193.310           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000           0.000          34.300           6.180           3.470          11.210          21.600
090_00:00:00      185.940           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          34.300           6.180           0.000          11.210          21.600
091_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
092_00:00:00      138.870           0.000           0.000          13.470          12.870           5.630           9.000           5.000          37.000           0.000          37.200           0.000           0.000           0.000          18.700
093_00:00:00      164.830           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000          24.000          37.200           0.000           0.000           2.710          18.700
094_00:00:00      188.840           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          37.200           6.180           0.000          11.210          21.600
095_00:00:00      215.810           0.000           0.000          43.900          12.870           4.880          12.900           5.000          37.000          22.500          34.300           6.180           3.470          11.210          21.600
096_00:00:00      188.840           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          37.200           6.180           0.000          11.210          21.600
097_00:00:00      143.620           0.000           0.000          22.770          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
098_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
099_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
100_00:00:00      146.520           0.000           0.000          22.770          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          21.600
101_00:00:00      171.450           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          37.200           0.000           0.000           0.000          21.600
102_00:00:00      171.450           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          37.200           0.000           0.000           0.000          21.600
103_00:00:00      164.750           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
104_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
105_00:00:00      134.320           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000           0.000          33.400           0.000           0.000           0.000          18.700
106_00:00:00      156.820           0.000           0.000          13.470          12.870           4.880           9.000           5.000          37.000          22.500          33.400           0.000           0.000           0.000          18.700
107_00:00:00      193.950           0.000           0.000          43.900          12.870           4.880           9.000           5.000          37.000          22.500          37.200           0.000           0.000           0.000          21.600
